TILEMAP
20 20 							-- Size of tile map in tiles
24 24 							-- Tile size & block size
images/tilespro.png 	-- Tilesheet
3 6 								-- Number of tiles in tilesheet
05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05
05,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,05
05,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,05
05,13,14,14,01,02,02,02,02,02,02,02,02,02,02,03,14,14,15,05
05,13,14,14,04,05,05,05,05,05,05,05,05,05,05,06,14,14,15,05
05,13,14,14,04,05,05,05,05,05,05,05,05,05,05,06,14,14,15,05
05,13,14,14,04,05,05,05,05,05,05,05,05,05,05,06,14,14,15,05
05,13,14,14,04,05,05,05,05,05,05,05,05,05,05,06,14,14,15,05
05,13,14,14,07,08,08,08,08,08,08,08,08,08,08,09,14,14,15,05
05,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,05
05,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,05
05,02,02,02,02,02,02,02,03,14,14,01,02,02,02,02,02,02,02,05
05,05,05,05,05,05,05,05,06,14,14,04,05,05,05,05,05,05,05,05
05,05,05,05,05,05,05,05,06,14,14,04,05,05,05,05,05,05,05,05
05,05,05,05,05,05,05,05,06,14,14,04,05,05,05,05,05,05,05,05
05,08,08,08,08,08,08,08,09,14,14,07,08,08,08,08,08,08,08,05
05,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,05
05,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,05
05,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,05
05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05
